
R:323 G:481 B:575 C:1505 cur_avg1506 prev_avg1506 read_idx3 Time:23.0709991455 Measured Time: 0  
R:323 G:482 B:575 C:1506 cur_avg1506 prev_avg1506 read_idx4 Time:23.2299995422 Measured Time: 0  
R:323 G:482 B:575 C:1506 cur_avg1506 prev_avg1506 read_idx5 Time:23.3889999389 Measured Time: 0  
R:323 G:481 B:575 C:1506 cur_avg1506 prev_avg1506 read_idx6 Time:23.5470008850 Measured Time: 0  
R:323 G:481 B:575 C:1506 cur_avg1506 prev_avg1506 read_idx7 Time:23.7059993743 Measured Time: 0  
R:323 G:481 B:575 C:1505 cur_avg1505 prev_avg1506 read_idx8 Time:23.8649997711 Measured Time: 0  
R:323 G:481 B:575 C:1505 cur_avg1505 prev_avg1505 read_idx9 Time:24.0240001678 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1505 prev_avg1505 read_idx10 Time:24.1819992065 Measured Time: 0  
R:323 G:481 B:575 C:1505 cur_avg1505 prev_avg1505 read_idx0 Time:24.3419990539 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1505 prev_avg1505 read_idx1 Time:24.5009994506 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1505 prev_avg1505 read_idx2 Time:24.6590003967 Measured Time: 0  
R:323 G:481 B:575 C:1505 cur_avg1505 prev_avg1505 read_idx3 Time:24.8180007934 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1504 prev_avg1505 read_idx4 Time:24.9769992828 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1504 prev_avg1504 read_idx5 Time:25.1359996795 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1504 prev_avg1504 read_idx6 Time:25.2940006256 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1504 prev_avg1504 read_idx7 Time:25.4529991149 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1504 prev_avg1504 read_idx8 Time:25.6119995117 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1504 prev_avg1504 read_idx9 Time:25.7700004577 Measured Time: 0  
R:323 G:481 B:574 C:1503 cur_avg1504 prev_avg1504 read_idx10 Time:25.9290008544 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1504 prev_avg1504 read_idx0 Time:26.0890007019 Measured Time: 0  
R:323 G:481 B:574 C:1503 cur_avg1503 prev_avg1504 read_idx1 Time:26.2479991912 Measured Time: 0  
R:323 G:480 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx2 Time:26.4060001373 Measured Time: 0  
R:323 G:480 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx3 Time:26.5650005340 Measured Time: 0  
R:323 G:480 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx4 Time:26.7240009307 Measured Time: 0  
R:323 G:481 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx5 Time:26.8829994201 Measured Time: 0  
R:323 G:481 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx6 Time:27.0410003662 Measured Time: 0  
R:323 G:481 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx7 Time:27.2000007629 Measured Time: 0  
R:323 G:481 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx8 Time:27.3589992523 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1503 prev_avg1503 read_idx9 Time:27.5170001983 Measured Time: 0  
R:323 G:481 B:574 C:1504 cur_avg1503 prev_avg1503 read_idx10 Time:27.6760005950 Measured Time: 0  
R:323 G:481 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx0 Time:27.8360004425 Measured Time: 0  
R:323 G:480 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx1 Time:27.9950008392 Measured Time: 0  
R:323 G:480 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx2 Time:28.1529998779 Measured Time: 0  
R:323 G:480 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx3 Time:28.3120002746 Measured Time: 0  
R:323 G:480 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx4 Time:28.4710006713 Measured Time: 0  
R:323 G:480 B:573 C:1503 cur_avg1503 prev_avg1503 read_idx5 Time:28.6289997100 Measured Time: 0  
R:323 G:480 B:574 C:1503 cur_avg1503 prev_avg1503 read_idx6 Time:28.7880001068 Measured Time: 0  
R:323 G:480 B:573 C:1503 cur_avg1503 prev_avg1503 read_idx7 Time:28.9470005035 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1503 prev_avg1503 read_idx8 Time:29.1060009002 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1502 prev_avg1503 read_idx9 Time:29.2639999389 Measured Time: 0  
R:323 G:480 B:573 C:1503 cur_avg1502 prev_avg1502 read_idx10 Time:29.4230003356 Measured Time: 0  
R:323 G:480 B:573 C:1503 cur_avg1502 prev_avg1502 read_idx0 Time:29.5830001831 Measured Time: 0  
R:323 G:480 B:573 C:1503 cur_avg1502 prev_avg1502 read_idx1 Time:29.7420005798 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1502 prev_avg1502 read_idx2 Time:29.8999996185 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1502 prev_avg1502 read_idx3 Time:30.0590000152 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1502 prev_avg1502 read_idx4 Time:30.2180004119 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1502 prev_avg1502 read_idx5 Time:30.3759994506 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1502 prev_avg1502 read_idx6 Time:30.5349998474 Measured Time: 0  
R:323 G:480 B:573 C:1503 cur_avg1502 prev_avg1502 read_idx7 Time:30.6940002441 Measured Time: 0  
