R:335 G:445 B:527 C:1408 cur_avg1407 prev_avg1407 read_idx4 Time:12.7440004348 Measured Time: 0  
R:335 G:444 B:527 C:1407 cur_avg1407 prev_avg1407 read_idx5 Time:12.9029998779 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1407 prev_avg1407 read_idx6 Time:13.0620002746 Measured Time: 0  
R:335 G:443 B:524 C:1402 cur_avg1406 prev_avg1407 read_idx7 Time:13.2200002670 Measured Time: 0  
R:335 G:443 B:525 C:1404 cur_avg1406 prev_avg1406 read_idx8 Time:13.3789997100 Measured Time: 0  
R:335 G:444 B:526 C:1407 cur_avg1406 prev_avg1406 read_idx9 Time:13.5380001068 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1406 prev_avg1406 read_idx10 Time:13.6969995498 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1406 prev_avg1406 read_idx0 Time:13.8559999465 Measured Time: 0  
R:335 G:444 B:526 C:1407 cur_avg1406 prev_avg1406 read_idx1 Time:14.0150003433 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1406 prev_avg1406 read_idx2 Time:14.1739997863 Measured Time: 0  
R:335 G:444 B:526 C:1407 cur_avg1406 prev_avg1406 read_idx3 Time:14.3339996337 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1405 prev_avg1406 read_idx4 Time:14.4919996261 Measured Time: 0  
R:334 G:443 B:523 C:1400 cur_avg1405 prev_avg1405 read_idx5 Time:14.6510000228 Measured Time: 0  
R:335 G:444 B:525 C:1403 cur_avg1404 prev_avg1405 read_idx6 Time:14.8100004196 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1405 prev_avg1404 read_idx7 Time:14.9680004119 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1405 prev_avg1405 read_idx8 Time:15.1269998550 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1405 prev_avg1405 read_idx9 Time:15.2860002517 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1405 prev_avg1405 read_idx10 Time:15.4449996948 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1405 prev_avg1405 read_idx0 Time:15.6040000915 Measured Time: 0  
R:335 G:444 B:525 C:1405 cur_avg1405 prev_avg1405 read_idx1 Time:15.7629995346 Measured Time: 0  
R:335 G:444 B:525 C:1405 cur_avg1405 prev_avg1405 read_idx2 Time:15.9219999313 Measured Time: 0  
R:335 G:443 B:524 C:1403 cur_avg1404 prev_avg1405 read_idx3 Time:16.0799999237 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1404 prev_avg1404 read_idx4 Time:16.2390003204 Measured Time: 0  
R:335 G:444 B:527 C:1407 cur_avg1405 prev_avg1404 read_idx5 Time:16.3980007171 Measured Time: 0  
R:335 G:445 B:527 C:1407 cur_avg1405 prev_avg1405 read_idx6 Time:16.5569992065 Measured Time: 0  
R:335 G:444 B:526 C:1407 cur_avg1405 prev_avg1405 read_idx7 Time:16.7150001525 Measured Time: 0  
R:335 G:444 B:525 C:1404 cur_avg1405 prev_avg1405 read_idx8 Time:16.8740005493 Measured Time: 0  
R:335 G:444 B:525 C:1405 cur_avg1405 prev_avg1405 read_idx9 Time:17.0330009460 Measured Time: 0  
R:335 G:445 B:527 C:1408 cur_avg1405 prev_avg1405 read_idx10 Time:17.1919994354 Measured Time: 0  
R:335 G:445 B:527 C:1407 cur_avg1405 prev_avg1405 read_idx0 Time:17.3509998321 Measured Time: 0  
R:334 G:444 B:525 C:1405 cur_avg1405 prev_avg1405 read_idx1 Time:17.5100002288 Measured Time: 0  
R:335 G:444 B:526 C:1405 cur_avg1405 prev_avg1405 read_idx2 Time:17.6690006256 Measured Time: 0  
R:335 G:444 B:525 C:1405 cur_avg1406 prev_avg1405 read_idx3 Time:17.8269996643 Measured Time: 0  
R:335 G:444 B:526 C:1405 cur_avg1405 prev_avg1406 read_idx4 Time:17.9860000610 Measured Time: 0  
R:335 G:444 B:525 C:1405 cur_avg1405 prev_avg1405 read_idx5 Time:18.1450004577 Measured Time: 0  
R:335 G:444 B:526 C:1405 cur_avg1405 prev_avg1405 read_idx6 Time:18.3040008544 Measured Time: 0  
R:335 G:444 B:526 C:1405 cur_avg1405 prev_avg1405 read_idx7 Time:18.4619998931 Measured Time: 0  
R:334 G:443 B:525 C:1404 cur_avg1405 prev_avg1405 read_idx8 Time:18.6210002899 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1405 prev_avg1405 read_idx9 Time:18.7800006866 Measured Time: 0  
R:334 G:443 B:525 C:1404 cur_avg1404 prev_avg1405 read_idx10 Time:18.9379997253 Measured Time: 0  
R:334 G:444 B:526 C:1405 cur_avg1404 prev_avg1404 read_idx0 Time:19.0979995727 Measured Time: 0  
R:334 G:444 B:526 C:1405 cur_avg1404 prev_avg1404 read_idx1 Time:19.2569999694 Measured Time: 0  
R:335 G:444 B:527 C:1407 cur_avg1404 prev_avg1404 read_idx2 Time:19.4160003662 Measured Time: 0  
R:334 G:444 B:527 C:1407 cur_avg1404 prev_avg1404 read_idx3 Time:19.5739994049 Measured Time: 0  
R:334 G:444 B:527 C:1407 cur_avg1405 prev_avg1404 read_idx4 Time:19.7329998016 Measured Time: 0  
R:334 G:444 B:526 C:1405 cur_avg1405 prev_avg1405 read_idx5 Time:19.8920001983 Measured Time: 0  
R:334 G:444 B:526 C:1405 cur_avg1405 prev_avg1405 read_idx6 Time:20.0510005950 Measured Time: 0  
R:334 G:444 B:525 C:1404 cur_avg1405 prev_avg1405 read_idx7 Time:20.2089996337 Measured Time: 0  
R:334 G:443 B:525 C:1404 cur_avg1405 prev_avg1405 read_idx8 Time:20.3680000305 Measured Time: 0  
R:334 G:444 B:525 C:1404 cur_avg1405 prev_avg1405 read_idx9 Time:20.5270004272 Measured Time: 0  
R:334 G:444 B:525 C:1404 cur_avg1405 prev_avg1405 read_idx10 Time:20.6849994659 Measured Time: 0  
R:334 G:444 B:526 C:1405 cur_avg1405 prev_avg1405 read_idx0 Time:20.8449993133 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1404 prev_avg1405 read_idx1 Time:21.0039997100 Measured Time: 0  
R:334 G:442 B:522 C:1398 cur_avg1403 prev_avg1404 read_idx2 Time:21.1630001068 Measured Time: 0  
R:334 G:442 B:523 C:1399 cur_avg1403 prev_avg1403 read_idx3 Time:21.3209991455 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1403 read_idx4 Time:21.4799995422 Measured Time: 0  
R:334 G:444 B:526 C:1405 cur_avg1402 prev_avg1402 read_idx5 Time:21.6389999389 Measured Time: 0  
R:334 G:444 B:526 C:1405 cur_avg1402 prev_avg1402 read_idx6 Time:21.7970008850 Measured Time: 0  
R:334 G:444 B:526 C:1405 cur_avg1402 prev_avg1402 read_idx7 Time:21.9559993743 Measured Time: 0  
R:334 G:444 B:526 C:1405 cur_avg1403 prev_avg1402 read_idx8 Time:22.1149997711 Measured Time: 0  
R:334 G:443 B:525 C:1404 cur_avg1403 prev_avg1403 read_idx9 Time:22.2740001678 Measured Time: 0  
R:334 G:443 B:525 C:1404 cur_avg1403 prev_avg1403 read_idx10 Time:22.4319992065 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1403 read_idx0 Time:22.5919990539 Measured Time: 0  
R:334 G:443 B:525 C:1404 cur_avg1403 prev_avg1402 read_idx1 Time:22.7509994506 Measured Time: 0  
R:334 G:443 B:525 C:1404 cur_avg1403 prev_avg1403 read_idx2 Time:22.9099998474 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1404 prev_avg1403 read_idx3 Time:23.0680007934 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1404 prev_avg1404 read_idx4 Time:23.2269992828 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1403 prev_avg1404 read_idx5 Time:23.3859996795 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1403 prev_avg1403 read_idx6 Time:23.5440006256 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1403 prev_avg1403 read_idx7 Time:23.7029991149 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1403 read_idx8 Time:23.8619995117 Measured Time: 0  
R:334 G:443 B:525 C:1404 cur_avg1402 prev_avg1402 read_idx9 Time:24.0209999084 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1402 read_idx10 Time:24.1790008544 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1402 read_idx0 Time:24.3390007019 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx1 Time:24.4979991912 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1402 read_idx2 Time:24.6560001373 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1402 read_idx3 Time:24.8150005340 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1402 read_idx4 Time:24.9740009307 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1402 read_idx5 Time:25.1329994201 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx6 Time:25.2910003662 Measured Time: 0  
R:334 G:443 B:525 C:1402 cur_avg1402 prev_avg1402 read_idx7 Time:25.4500007629 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1402 read_idx8 Time:25.6089992523 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx9 Time:25.7679996490 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx10 Time:25.9260005950 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx0 Time:26.0860004425 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx1 Time:26.2450008392 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx2 Time:26.4029998779 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx3 Time:26.5620002746 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx4 Time:26.7210006713 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx5 Time:26.8799991607 Measured Time: 0  
R:334 G:443 B:524 C:1403 cur_avg1402 prev_avg1402 read_idx6 Time:27.0380001068 Measured Time: 0  
R:334 G:443 B:524 C:1403 cur_avg1402 prev_avg1402 read_idx7 Time:27.1970005035 Measured Time: 0  
R:334 G:443 B:524 C:1403 cur_avg1402 prev_avg1402 read_idx8 Time:27.3560009002 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx9 Time:27.5139999389 Measured Time: 0  
R:334 G:443 B:525 C:1402 cur_avg1402 prev_avg1402 read_idx10 Time:27.6730003356 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1402 read_idx0 Time:27.8330001831 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx1 Time:27.9920005798 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1402 read_idx2 Time:28.1499996185 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx3 Time:28.3090000152 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx4 Time:28.4680004119 Measured Time: 0  
