R,G,B,C,Time
529.0,725.0,739.0,2176.0,75.9929962158
530.0,725.0,739.0,2177.0,76.3489990234
531.0,725.0,739.0,2178.0,76.705001831
532.0,726.0,739.0,2180.0,77.0609970092
533.0,726.0,740.0,2182.0,77.4179992675
534.0,726.0,740.0,2183.0,77.7740020751
535.0,726.0,740.0,2184.0,78.1299972534
537.0,727.0,740.0,2186.0,78.4869995117
538.0,727.0,740.0,2188.0,78.8430023193
539.0,727.0,740.0,2189.0,79.1989974975
540.0,727.0,740.0,2190.0,79.5550003051
541.0,727.0,740.0,2192.0,79.9110031127
542.0,728.0,740.0,2194.0,80.2679977416
543.0,728.0,740.0,2195.0,80.6230010986
544.0,728.0,740.0,2196.0,80.9789962768
545.0,728.0,740.0,2197.0,81.3359985351
547.0,728.0,740.0,2199.0,81.6930007934
548.0,728.0,740.0,2200.0,82.0479965209
549.0,729.0,740.0,2202.0,82.4049987792
550.0,729.0,740.0,2203.0,82.7610015869
551.0,729.0,741.0,2205.0,83.1169967651
552.0,729.0,741.0,2206.0,83.4729995727
553.0,729.0,741.0,2207.0,83.8290023803
554.0,729.0,741.0,2208.0,84.1849975585
555.0,730.0,741.0,2210.0,84.5419998168
556.0,730.0,741.0,2211.0,84.8970031738
557.0,730.0,741.0,2212.0,85.252998352
557.0,730.0,741.0,2213.0,85.611000061
558.0,730.0,741.0,2214.0,85.9670028686
559.0,730.0,741.0,2216.0,86.3239974975
560.0,730.0,741.0,2217.0,86.6790008544
561.0,731.0,741.0,2218.0,87.0350036621
562.0,731.0,741.0,2219.0,87.391998291
563.0,731.0,741.0,2220.0,87.7480010986
564.0,731.0,741.0,2221.0,88.1029968261
565.0,731.0,741.0,2222.0,88.4599990844
565.0,731.0,741.0,2223.0,88.816001892
566.0,731.0,741.0,2225.0,89.1719970703
567.0,731.0,741.0,2226.0,89.5289993286
568.0,731.0,741.0,2226.0,89.8850021362
568.0,732.0,741.0,2227.0,90.2409973144
569.0,732.0,742.0,2228.0,90.5979995727
570.0,732.0,742.0,2229.0,90.9530029296
570.0,732.0,742.0,2230.0,91.3089981079
571.0,732.0,742.0,2231.0,91.6660003662
572.0,732.0,742.0,2231.0,92.0220031738
572.0,732.0,742.0,2232.0,92.3769989013
573.0,732.0,742.0,2233.0,92.7340011596
573.0,732.0,742.0,2234.0,93.0899963378
574.0,732.0,742.0,2234.0,93.4469985961
575.0,732.0,742.0,2235.0,93.8030014038
575.0,733.0,742.0,2236.0,94.158996582
576.0,733.0,742.0,2236.0,94.5159988403
576.0,733.0,742.0,2237.0,94.8720016479
577.0,733.0,742.0,2237.0,95.2269973754
577.0,733.0,742.0,2238.0,95.5839996337
577.0,733.0,742.0,2238.0,95.9400024414
578.0,733.0,742.0,2239.0,96.2959976196
578.0,733.0,742.0,2239.0,96.6520004272
579.0,733.0,742.0,2240.0,97.0080032348
579.0,733.0,742.0,2240.0,97.3649978637
579.0,733.0,742.0,2240.0,97.722000122
579.0,733.0,742.0,2241.0,98.0780029296
580.0,733.0,742.0,2241.0,98.4329986572
580.0,733.0,742.0,2241.0,98.7900009155
580.0,733.0,742.0,2242.0,99.1460037231
580.0,733.0,742.0,2242.0,99.5019989013
581.0,733.0,742.0,2242.0,99.8580017089
581.0,733.0,742.0,2242.0,100.2139968872
581.0,733.0,742.0,2242.0,100.5709991455
581.0,733.0,742.0,2242.0,100.9290008544
581.0,733.0,742.0,2242.0,101.2860031127
581.0,733.0,742.0,2242.0,101.6439971923
581.0,733.0,742.0,2242.0,102.0009994506
581.0,733.0,742.0,2242.0,102.3580017089
581.0,732.0,742.0,2242.0,102.7149963378
581.0,733.0,742.0,2242.0,103.0719985961
581.0,732.0,742.0,2242.0,103.4290008544
581.0,732.0,742.0,2242.0,103.7870025634
581.0,732.0,741.0,2242.0,104.1439971923
581.0,732.0,741.0,2241.0,104.5009994506
581.0,732.0,741.0,2241.0,104.8600006103
581.0,732.0,741.0,2241.0,105.21900177
581.0,732.0,741.0,2240.0,105.5780029296
581.0,732.0,741.0,2240.0,105.9359970092
581.0,732.0,741.0,2240.0,106.2929992675
580.0,732.0,741.0,2240.0,106.6500015258
580.0,731.0,741.0,2239.0,107.0070037841
580.0,731.0,741.0,2239.0,107.3669967651
580.0,731.0,741.0,2239.0,107.7239990234
580.0,731.0,741.0,2238.0,108.0820007324
579.0,731.0,741.0,2238.0,108.4420013427
579.0,731.0,741.0,2237.0,108.8000030517
579.0,731.0,741.0,2237.0,109.1600036621
579.0,731.0,741.0,2237.0,109.5179977416
578.0,730.0,740.0,2235.0,109.8769989013
578.0,730.0,741.0,2235.0,110.2350006103
578.0,730.0,740.0,2235.0,110.59400177
578.0,730.0,740.0,2235.0,110.9530029296
577.0,730.0,740.0,2234.0,111.3109970092
577.0,730.0,740.0,2233.0,111.6699981689
577.0,730.0,740.0,2233.0,112.0289993286
576.0,730.0,740.0,2232.0,112.3870010375
576.0,729.0,740.0,2232.0,112.7470016479
576.0,729.0,740.0,2231.0,113.1050033569
575.0,729.0,740.0,2231.0,113.4649963378
575.0,729.0,740.0,2230.0,113.8229980468
575.0,729.0,740.0,2229.0,114.1819992065
574.0,729.0,740.0,2229.0,114.5410003662
574.0,729.0,740.0,2228.0,114.8990020751
574.0,728.0,740.0,2228.0,115.2580032348
573.0,728.0,739.0,2227.0,115.6169967651
573.0,728.0,739.0,2227.0,115.9749984741
573.0,728.0,739.0,2226.0,116.3349990844
572.0,728.0,739.0,2225.0,116.6930007934
572.0,728.0,739.0,2225.0,117.0530014038
571.0,728.0,739.0,2224.0,117.4120025634
571.0,727.0,739.0,2223.0,117.7710037231
571.0,727.0,739.0,2223.0,118.1299972534
570.0,727.0,739.0,2222.0,118.4879989624
570.0,727.0,739.0,2221.0,118.847000122
569.0,727.0,739.0,2220.0,119.2060012817
569.0,727.0,739.0,2220.0,119.566001892
568.0,726.0,739.0,2219.0,119.924003601
568.0,726.0,738.0,2218.0,120.2819976806
568.0,726.0,738.0,2218.0,120.641998291
567.0,726.0,738.0,2217.0,121.0009994506
567.0,726.0,738.0,2216.0,121.361000061
566.0,726.0,738.0,2216.0,121.7200012207
566.0,725.0,738.0,2215.0,122.077003479
566.0,725.0,738.0,2214.0,122.4369964599
565.0,725.0,738.0,2213.0,122.7959976196
565.0,725.0,738.0,2213.0,123.1559982299
564.0,725.0,738.0,2212.0,123.5139999389
564.0,725.0,738.0,2212.0,123.8730010986
563.0,725.0,738.0,2211.0,124.2320022583
563.0,724.0,738.0,2210.0,124.5899963378
563.0,724.0,738.0,2210.0,124.9509963989
562.0,724.0,737.0,2209.0,125.3099975585
562.0,724.0,737.0,2208.0,125.6679992675
561.0,724.0,737.0,2207.0,126.0270004272
561.0,724.0,737.0,2207.0,126.3860015869
561.0,723.0,737.0,2206.0,126.7450027465
560.0,723.0,737.0,2205.0,127.1039962768
560.0,723.0,737.0,2205.0,127.4629974365
559.0,723.0,737.0,2204.0,127.8209991455
559.0,723.0,737.0,2204.0,128.1809997558
558.0,723.0,737.0,2202.0,128.5399932861
558.0,722.0,737.0,2202.0,128.8990020751
558.0,722.0,736.0,2201.0,129.2579956054
557.0,722.0,736.0,2201.0,129.6170043945
557.0,722.0,736.0,2200.0,129.9759979248
556.0,722.0,736.0,2199.0,130.3350067138
556.0,722.0,736.0,2199.0,130.6940002441
556.0,722.0,736.0,2198.0,131.0520019531
555.0,721.0,736.0,2197.0,131.4109954833
555.0,721.0,736.0,2197.0,131.7709960937
554.0,721.0,736.0,2196.0,132.1289978027
554.0,721.0,736.0,2195.0,132.4869995117
554.0,721.0,736.0,2195.0,132.8480072021
553.0,721.0,736.0,2194.0,133.2059936523
553.0,721.0,736.0,2194.0,133.5659942626
553.0,720.0,736.0,2193.0,133.9250030517
552.0,720.0,736.0,2192.0,134.283996582
552.0,720.0,736.0,2192.0,134.641998291
551.0,720.0,735.0,2191.0,135.00100708
