R:332 G:456 B:542 C:1449 cur_avg1449 prev_avg1449 read_idx4 Time:26.5270004272 
R:332 G:456 B:542 C:1449 cur_avg1449 prev_avg1449 read_idx5 Time:26.6669998168 
R:332 G:456 B:542 C:1448 cur_avg1448 prev_avg1449 read_idx6 Time:26.8069992065 
R:332 G:456 B:542 C:1448 cur_avg1448 prev_avg1448 read_idx7 Time:26.9470005035 
R:332 G:456 B:542 C:1449 cur_avg1448 prev_avg1448 read_idx8 Time:27.0869998931 
R:332 G:456 B:542 C:1448 cur_avg1448 prev_avg1448 read_idx9 Time:27.2269992828 
R:332 G:455 B:542 C:1448 cur_avg1448 prev_avg1448 read_idx10 Time:27.3670005798 
R:332 G:455 B:542 C:1448 cur_avg1448 prev_avg1448 read_idx0 Time:27.5079994201 
R:332 G:455 B:541 C:1447 cur_avg1448 prev_avg1448 read_idx1 Time:27.6480007171 
R:332 G:455 B:541 C:1447 cur_avg1448 prev_avg1448 read_idx2 Time:27.7880001068 
R:332 G:455 B:541 C:1447 cur_avg1448 prev_avg1448 read_idx3 Time:27.9290008544 
R:332 G:455 B:541 C:1447 cur_avg1447 prev_avg1448 read_idx4 Time:28.0680007934 
R:332 G:455 B:541 C:1447 cur_avg1447 prev_avg1447 read_idx5 Time:28.2080001831 
R:332 G:455 B:541 C:1447 cur_avg1447 prev_avg1447 read_idx6 Time:28.3479995727 
R:332 G:455 B:542 C:1447 cur_avg1447 prev_avg1447 read_idx7 Time:28.4880008697 
R:332 G:455 B:542 C:1447 cur_avg1447 prev_avg1447 read_idx8 Time:28.6280002593 
R:332 G:455 B:542 C:1448 cur_avg1447 prev_avg1447 read_idx9 Time:28.7679996490 
R:332 G:455 B:542 C:1448 cur_avg1447 prev_avg1447 read_idx10 Time:28.9090003967 
R:332 G:455 B:542 C:1448 cur_avg1447 prev_avg1447 read_idx0 Time:29.0489997863 
R:332 G:455 B:542 C:1448 cur_avg1447 prev_avg1447 read_idx1 Time:29.1889991760 
R:332 G:455 B:541 C:1447 cur_avg1447 prev_avg1447 read_idx2 Time:29.3290004730 
R:332 G:455 B:541 C:1447 cur_avg1447 prev_avg1447 read_idx3 Time:29.4689998626 
R:332 G:455 B:541 C:1447 cur_avg1447 prev_avg1447 read_idx4 Time:29.6089992523 
R:332 G:455 B:541 C:1447 cur_avg1447 prev_avg1447 read_idx5 Time:29.7490005493 
R:332 G:455 B:541 C:1446 cur_avg1447 prev_avg1447 read_idx6 Time:29.8899993896 
R:332 G:455 B:541 C:1446 cur_avg1447 prev_avg1447 read_idx7 Time:30.0289993286 
R:332 G:455 B:541 C:1446 cur_avg1447 prev_avg1447 read_idx8 Time:30.1690006256 
R:332 G:455 B:541 C:1446 cur_avg1446 prev_avg1447 read_idx9 Time:30.3090000152 
R:332 G:454 B:541 C:1445 cur_avg1446 prev_avg1446 read_idx10 Time:30.4500007629 
R:332 G:454 B:541 C:1445 cur_avg1446 prev_avg1446 read_idx0 Time:30.5900001525 
R:332 G:455 B:541 C:1446 cur_avg1446 prev_avg1446 read_idx1 Time:30.7299995422 
R:332 G:454 B:541 C:1445 cur_avg1446 prev_avg1446 read_idx2 Time:30.8710002899 
R:332 G:454 B:541 C:1445 cur_avg1445 prev_avg1446 read_idx3 Time:31.0100002288 
R:332 G:455 B:541 C:1446 cur_avg1445 prev_avg1445 read_idx4 Time:31.1499996185 
